route_id,stop_id,day_of_week,time_of_day,weather,passenger_count
B,8,Sunday,18-20,not_rain,39
B,9,Sunday,8-10,not_rain,35
B,10,Sunday,12-14,not_rain,2
A,1,Sunday,12-14,not_rain,7
A,2,Sunday,16-18,rain,24
A,3,Sunday,6-8,not_rain,28
A,4,Sunday,12-14,not_rain,29
A,5,Sunday,6-8,not_rain,33
A,6,Sunday,10-12,not_rain,37
A,7,Sunday,6-8,not_rain,38
A,8,Sunday,6-8,not_rain,2
B,1,Sunday,6-8,not_rain,3
B,2,Sunday,12-14,not_rain,13
B,3,Sunday,12-14,not_rain,18
B,4,Sunday,16-18,not_rain,24
B,5,Sunday,14-16,not_rain,31
B,6,Sunday,20-22,not_rain,34
B,7,Sunday,10-12,not_rain,38
B,8,Sunday,18-20,not_rain,44
B,9,Sunday,18-20,not_rain,45
B,10,Sunday,12-14,not_rain,5
A,1,Monday,20-22,not_rain,13
A,2,Monday,18-20,not_rain,27
A,3,Monday,8-10,not_rain,41
A,4,Monday,6-8,rain,45
A,5,Monday,12-14,not_rain,47
A,6,Monday,10-12,not_rain,53
A,7,Monday,14-16,not_rain,62
A,8,Monday,20-22,not_rain,5
B,1,Monday,12-14,not_rain,9
B,2,Monday,10-12,not_rain,26
B,3,Monday,14-16,rain,32
B,4,Monday,16-18,not_rain,40
B,5,Monday,6-8,not_rain,48
B,6,Monday,16-18,not_rain,63
B,7,Monday,14-16,not_rain,70
B,8,Monday,18-20,rain,75
B,9,Monday,20-22,not_rain,75
B,10,Monday,16-18,not_rain,4
A,1,Monday,10-12,not_rain,17
A,2,Monday,20-22,not_rain,29
A,3,Monday,14-16,not_rain,40
A,4,Monday,20-22,not_rain,51
A,5,Monday,6-8,not_rain,58
A,6,Monday,10-12,not_rain,62
A,7,Monday,20-22,not_rain,69
A,8,Monday,8-10,not_rain,6
B,1,Monday,10-12,not_rain,10
B,2,Monday,6-8,not_rain,22
B,3,Monday,10-12,not_rain,38
B,4,Monday,10-12,not_rain,49
B,5,Monday,8-10,not_rain,66
B,6,Monday,10-12,not_rain,69
B,7,Monday,6-8,rain,75
B,8,Monday,6-8,rain,75
B,9,Monday,8-10,not_rain,75
B,10,Monday,16-18,not_rain,9
A,1,Monday,18-20,not_rain,12
A,2,Monday,12-14,not_rain,27
A,3,Monday,14-16,rain,41
A,4,Monday,20-22,not_rain,52
A,5,Monday,6-8,not_rain,65
A,6,Monday,20-22,rain,75
A,7,Monday,18-20,not_rain,75
A,8,Monday,18-20,not_rain,4
B,1,Monday,16-18,rain,25
B,2,Monday,20-22,not_rain,33
B,3,Monday,16-18,rain,52
B,4,Monday,8-10,not_rain,65
B,5,Monday,8-10,not_rain,71
B,6,Monday,8-10,not_rain,75
B,7,Monday,20-22,not_rain,75
B,8,Monday,10-12,not_rain,75
B,9,Monday,10-12,not_rain,75
B,10,Monday,20-22,not_rain,6
A,1,Monday,20-22,not_rain,7
A,2,Monday,18-20,not_rain,13
A,3,Monday,16-18,not_rain,33
A,4,Monday,6-8,not_rain,45
A,5,Monday,10-12,not_rain,50
A,6,Monday,6-8,not_rain,58
A,7,Monday,12-14,not_rain,62
A,8,Monday,16-18,not_rain,9
B,1,Monday,12-14,not_rain,9
B,2,Monday,6-8,not_rain,21
B,3,Monday,20-22,not_rain,36
B,4,Monday,10-12,not_rain,44
B,5,Monday,6-8,rain,53
B,6,Monday,14-16,not_rain,55
B,7,Monday,16-18,not_rain,71
B,8,Monday,18-20,not_rain,75
B,9,Monday,20-22,not_rain,75
B,10,Monday,14-16,rain,3
A,1,Monday,8-10,not_rain,9
A,2,Monday,12-14,not_rain,15
A,3,Monday,8-10,rain,26
A,4,Monday,10-12,not_rain,39
A,5,Monday,12-14,not_rain,50
A,6,Monday,14-16,not_rain,55
A,7,Monday,12-14,not_rain,64
A,8,Monday,10-12,not_rain,6
B,1,Monday,14-16,not_rain,12
B,2,Monday,20-22,not_rain,21
B,3,Monday,12-14,not_rain,25
B,4,Monday,8-10,not_rain,35
B,5,Monday,16-18,not_rain,45
B,6,Monday,12-14,not_rain,53
B,7,Monday,14-16,not_rain,57
B,8,Monday,8-10,not_rain,56
B,9,Monday,8-10,not_rain,65
B,10,Monday,8-10,not_rain,7
A,1,Monday,8-10,not_rain,20
A,2,Monday,18-20,not_rain,31
A,3,Monday,6-8,not_rain,44
A,4,Monday,8-10,not_rain,63
A,5,Monday,16-18,not_rain,72
A,6,Monday,10-12,not_rain,74
A,7,Monday,6-8,not_rain,75
A,8,Monday,18-20,not_rain,9
B,1,Monday,8-10,rain,18
B,2,Monday,16-18,not_rain,36
B,3,Monday,20-22,rain,45
B,4,Monday,20-22,not_rain,58
B,5,Monday,18-20,not_rain,72
B,6,Monday,16-18,not_rain,75
B,7,Monday,8-10,not_rain,75
B,8,Monday,20-22,not_rain,75
B,9,Monday,16-18,not_rain,75
B,10,Monday,12-14,not_rain,5
A,1,Monday,14-16,rain,17
A,2,Monday,6-8,rain,37
A,3,Monday,8-10,not_rain,49
A,4,Monday,20-22,not_rain,63
A,5,Monday,16-18,not_rain,69
A,6,Monday,16-18,not_rain,75
A,7,Monday,12-14,not_rain,75
A,8,Monday,14-16,not_rain,4
B,1,Monday,8-10,not_rain,12
B,2,Monday,14-16,not_rain,25
B,3,Monday,14-16,not_rain,36
B,4,Monday,8-10,rain,54
B,5,Monday,18-20,rain,59
B,6,Monday,10-12,not_rain,70
B,7,Monday,12-14,not_rain,73
B,8,Monday,16-18,not_rain,75
B,9,Monday,6-8,not_rain,75
B,10,Monday,20-22,not_rain,2
A,1,Monday,10-12,not_rain,7
A,2,Monday,14-16,not_rain,18
A,3,Monday,12-14,rain,22
A,4,Monday,12-14,not_rain,25
A,5,Monday,10-12,not_rain,36
A,6,Monday,10-12,not_rain,45
A,7,Monday,8-10,not_rain,47
A,8,Monday,6-8,not_rain,11
B,1,Monday,8-10,not_rain,13
B,2,Monday,6-8,rain,25
B,3,Monday,14-16,not_rain,34
B,4,Monday,16-18,not_rain,47
B,5,Monday,6-8,not_rain,53
B,6,Monday,8-10,rain,62
B,7,Monday,12-14,not_rain,70
B,8,Monday,12-14,not_rain,75
B,9,Monday,16-18,not_rain,75
B,10,Monday,10-12,rain,9
A,1,Monday,8-10,not_rain,15
A,2,Monday,18-20,not_rain,23
A,3,Monday,12-14,not_rain,29
A,4,Monday,12-14,rain,41
A,5,Monday,16-18,not_rain,56
A,6,Monday,6-8,not_rain,63
A,7,Monday,14-16,not_rain,66
A,8,Monday,20-22,not_rain,2
B,1,Monday,14-16,rain,9
B,2,Monday,14-16,not_rain,22
B,3,Monday,16-18,not_rain,31
B,4,Monday,20-22,not_rain,43
B,5,Monday,8-10,not_rain,60
B,6,Monday,20-22,rain,62
B,7,Monday,16-18,not_rain,67
B,8,Monday,20-22,not_rain,71
B,9,Monday,12-14,not_rain,69
B,10,Monday,16-18,not_rain,1
A,1,Monday,18-20,rain,9
A,2,Monday,20-22,not_rain,24
A,3,Monday,18-20,not_rain,33
A,4,Monday,8-10,not_rain,45
A,5,Monday,14-16,not_rain,54
A,6,Monday,16-18,not_rain,68
A,7,Monday,16-18,not_rain,75
A,8,Monday,14-16,not_rain,5
B,1,Monday,14-16,rain,8
B,2,Monday,16-18,rain,24
B,3,Monday,8-10,not_rain,43
B,4,Monday,14-16,rain,48
B,5,Monday,12-14,not_rain,56
B,6,Monday,10-12,not_rain,63
B,7,Monday,18-20,not_rain,74
B,8,Monday,12-14,not_rain,75
B,9,Monday,8-10,rain,75
B,10,Monday,16-18,not_rain,12
A,1,Monday,20-22,not_rain,11
A,2,Monday,16-18,not_rain,32
A,3,Monday,8-10,not_rain,46
A,4,Monday,20-22,not_rain,54
A,5,Monday,14-16,not_rain,62
A,6,Monday,8-10,not_rain,75
A,7,Monday,10-12,not_rain,75
A,8,Monday,18-20,not_rain,9
B,1,Monday,8-10,not_rain,22
B,2,Monday,10-12,not_rain,30
B,3,Monday,20-22,not_rain,41
B,4,Monday,18-20,not_rain,44
B,5,Monday,14-16,not_rain,46
B,6,Monday,12-14,not_rain,59
B,7,Monday,10-12,not_rain,58
B,8,Monday,18-20,not_rain,59
B,9,Monday,20-22,not_rain,65
B,10,Monday,20-22,not_rain,6
A,1,Monday,6-8,not_rain,14
A,2,Monday,20-22,rain,20
A,3,Monday,18-20,not_rain,25
A,4,Monday,16-18,not_rain,36
A,5,Monday,16-18,not_rain,49
A,6,Monday,8-10,not_rain,55
A,7,Monday,16-18,not_rain,64
A,8,Monday,6-8,not_rain,4
B,1,Monday,6-8,not_rain,12
B,2,Monday,12-14,not_rain,24
B,3,Monday,20-22,not_rain,38
B,4,Monday,6-8,not_rain,49
B,5,Monday,12-14,not_rain,56
B,6,Monday,14-16,not_rain,67
B,7,Monday,18-20,not_rain,71
B,8,Monday,12-14,not_rain,74
B,9,Monday,8-10,not_rain,75
B,10,Monday,10-12,rain,2
A,1,Monday,14-16,not_rain,16
A,2,Monday,18-20,not_rain,27
A,3,Monday,12-14,not_rain,34
A,4,Monday,10-12,rain,41
A,5,Monday,18-20,rain,53
A,6,Monday,12-14,not_rain,65
A,7,Monday,12-14,not_rain,75
A,8,Monday,10-12,not_rain,2
B,1,Monday,6-8,not_rain,9
B,2,Monday,10-12,not_rain,21
B,3,Monday,18-20,not_rain,30
B,4,Monday,10-12,rain,34
B,5,Monday,18-20,rain,48
B,6,Monday,6-8,not_rain,56
B,7,Monday,14-16,rain,63
B,8,Monday,18-20,not_rain,72
B,9,Monday,14-16,rain,73
B,10,Monday,20-22,rain,1
A,1,Monday,10-12,rain,17
A,2,Monday,12-14,not_rain,23
A,3,Monday,6-8,not_rain,26
A,4,Monday,10-12,not_rain,37
A,5,Monday,6-8,not_rain,43
A,6,Monday,18-20,rain,47
A,7,Monday,18-20,not_rain,51
A,8,Monday,10-12,not_rain,3
B,1,Monday,18-20,rain,9
B,2,Monday,6-8,not_rain,20
B,3,Monday,14-16,not_rain,24
B,4,Monday,14-16,rain,38
B,5,Monday,16-18,not_rain,55
B,6,Monday,14-16,not_rain,66
B,7,Monday,12-14,not_rain,75
B,8,Monday,8-10,not_rain,75
B,9,Monday,20-22,not_rain,75
B,10,Monday,20-22,not_rain,9
A,1,Tuesday,18-20,not_rain,12
A,2,Tuesday,16-18,not_rain,28
A,3,Tuesday,14-16,not_rain,36
A,4,Tuesday,14-16,not_rain,42
A,5,Tuesday,8-10,not_rain,54
A,6,Tuesday,18-20,not_rain,57
A,7,Tuesday,20-22,not_rain,63
A,8,Tuesday,6-8,not_rain,9
B,1,Tuesday,20-22,not_rain,10
B,2,Tuesday,18-20,not_rain,23
B,3,Tuesday,8-10,not_rain,42
B,4,Tuesday,10-12,not_rain,53
B,5,Tuesday,20-22,not_rain,59
B,6,Tuesday,16-18,not_rain,73
B,7,Tuesday,20-22,rain,75
B,8,Tuesday,14-16,rain,75
B,9,Tuesday,16-18,not_rain,75
B,10,Tuesday,8-10,not_rain,9
A,1,Tuesday,18-20,not_rain,11
A,2,Tuesday,16-18,not_rain,22
A,3,Tuesday,18-20,not_rain,32
A,4,Tuesday,16-18,not_rain,48
A,5,Tuesday,20-22,not_rain,55
A,6,Tuesday,18-20,rain,60
A,7,Tuesday,6-8,not_rain,64
A,8,Tuesday,20-22,not_rain,9
B,1,Tuesday,14-16,not_rain,13
B,2,Tuesday,16-18,not_rain,27
B,3,Tuesday,14-16,not_rain,38
B,4,Tuesday,16-18,not_rain,46
B,5,Tuesday,8-10,not_rain,62
B,6,Tuesday,8-10,not_rain,75
B,7,Tuesday,18-20,not_rain,75
B,8,Tuesday,6-8,not_rain,75
B,9,Tuesday,6-8,rain,72
B,10,Tuesday,16-18,not_rain,7
A,1,Tuesday,14-16,not_rain,12
A,2,Tuesday,16-18,not_rain,25
A,3,Tuesday,14-16,not_rain,28
A,4,Tuesday,16-18,not_rain,49
A,5,Tuesday,18-20,not_rain,52
A,6,Tuesday,12-14,rain,54
A,7,Tuesday,10-12,not_rain,60
A,8,Tuesday,10-12,not_rain,5
B,1,Tuesday,10-12,not_rain,14
B,2,Tuesday,18-20,not_rain,25
B,3,Tuesday,16-18,not_rain,45
B,4,Tuesday,6-8,not_rain,56
B,5,Tuesday,8-10,not_rain,64
B,6,Tuesday,12-14,rain,69
B,7,Tuesday,8-10,not_rain,75
B,8,Tuesday,20-22,not_rain,75
B,9,Tuesday,14-16,not_rain,75
B,10,Tuesday,20-22,not_rain,9
A,1,Tuesday,16-18,not_rain,16
A,2,Tuesday,20-22,rain,27
A,3,Tuesday,12-14,not_rain,36
A,4,Tuesday,6-8,not_rain,42
A,5,Tuesday,10-12,not_rain,48
A,6,Tuesday,8-10,not_rain,53
A,7,Tuesday,14-16,not_rain,65
A,8,Tuesday,12-14,not_rain,5
B,1,Tuesday,18-20,not_rain,13
B,2,Tuesday,20-22,not_rain,26
B,3,Tuesday,10-12,not_rain,37
B,4,Tuesday,8-10,not_rain,48
B,5,Tuesday,14-16,not_rain,60
B,6,Tuesday,18-20,not_rain,65
B,7,Tuesday,6-8,rain,70
B,8,Tuesday,10-12,rain,70
B,9,Tuesday,12-14,not_rain,75
B,10,Tuesday,8-10,not_rain,13
A,1,Tuesday,10-12,not_rain,13
A,2,Tuesday,14-16,not_rain,21
A,3,Tuesday,14-16,not_rain,29
A,4,Tuesday,6-8,rain,38
A,5,Tuesday,10-12,not_rain,50
A,6,Tuesday,14-16,not_rain,57
A,7,Tuesday,16-18,rain,62
A,8,Tuesday,10-12,not_rain,2
B,1,Tuesday,14-16,not_rain,11
B,2,Tuesday,8-10,not_rain,22
B,3,Tuesday,10-12,not_rain,33
B,4,Tuesday,12-14,not_rain,39
B,5,Tuesday,12-14,not_rain,44
B,6,Tuesday,16-18,not_rain,50
B,7,Tuesday,16-18,not_rain,58
B,8,Tuesday,8-10,not_rain,68
B,9,Tuesday,16-18,not_rain,75
B,10,Tuesday,10-12,rain,9
A,1,Tuesday,16-18,not_rain,13
A,2,Tuesday,8-10,not_rain,28
A,3,Tuesday,16-18,not_rain,46
A,4,Tuesday,8-10,not_rain,54
A,5,Tuesday,6-8,not_rain,62
A,6,Tuesday,8-10,rain,75
A,7,Tuesday,12-14,rain,75
A,8,Tuesday,12-14,not_rain,8
B,1,Tuesday,10-12,rain,10
B,2,Tuesday,6-8,not_rain,20
B,3,Tuesday,20-22,rain,28
B,4,Tuesday,20-22,not_rain,38
B,5,Tuesday,6-8,not_rain,49
B,6,Tuesday,6-8,not_rain,54
B,7,Tuesday,20-22,not_rain,64
B,8,Tuesday,10-12,not_rain,74
B,9,Tuesday,18-20,not_rain,75
B,10,Tuesday,12-14,not_rain,2
A,1,Tuesday,12-14,not_rain,8
A,2,Tuesday,20-22,not_rain,19
A,3,Tuesday,14-16,not_rain,29
A,4,Tuesday,6-8,not_rain,41
A,5,Tuesday,20-22,rain,51
A,6,Tuesday,10-12,not_rain,62
A,7,Tuesday,16-18,not_rain,70
A,8,Tuesday,10-12,not_rain,9
B,1,Tuesday,10-12,rain,17
B,2,Tuesday,6-8,not_rain,30
B,3,Tuesday,10-12,not_rain,39
B,4,Tuesday,10-12,not_rain,47
B,5,Tuesday,12-14,not_rain,51
B,6,Tuesday,14-16,rain,58
B,7,Tuesday,18-20,rain,62
B,8,Tuesday,20-22,rain,70
B,9,Tuesday,12-14,rain,75
B,10,Tuesday,6-8,not_rain,2
A,1,Tuesday,10-12,not_rain,10
A,2,Tuesday,10-12,not_rain,19
A,3,Tuesday,16-18,not_rain,40
A,4,Tuesday,18-20,not_rain,47
A,5,Tuesday,8-10,not_rain,54
A,6,Tuesday,18-20,not_rain,56
A,7,Tuesday,12-14,rain,62
A,8,Tuesday,8-10,not_rain,6
B,1,Tuesday,12-14,not_rain,11
B,2,Tuesday,18-20,not_rain,24
B,3,Tuesday,16-18,not_rain,45
B,4,Tuesday,12-14,not_rain,57
B,5,Tuesday,20-22,rain,63
B,6,Tuesday,8-10,rain,75
B,7,Tuesday,12-14,not_rain,75
B,8,Tuesday,6-8,not_rain,75
B,9,Tuesday,14-16,not_rain,75
B,10,Tuesday,10-12,not_rain,2
A,1,Tuesday,16-18,not_rain,13
A,2,Tuesday,16-18,not_rain,32
A,3,Tuesday,12-14,not_rain,44
A,4,Tuesday,6-8,rain,49
A,5,Tuesday,10-12,not_rain,57
A,6,Tuesday,20-22,not_rain,62
A,7,Tuesday,16-18,rain,75
A,8,Tuesday,8-10,not_rain,10
B,1,Tuesday,18-20,not_rain,12
B,2,Tuesday,18-20,not_rain,17
B,3,Tuesday,6-8,not_rain,22
B,4,Tuesday,20-22,not_rain,28
B,5,Tuesday,14-16,not_rain,36
B,6,Tuesday,16-18,not_rain,55
B,7,Tuesday,16-18,not_rain,57
B,8,Tuesday,12-14,not_rain,64
B,9,Tuesday,8-10,rain,68
B,10,Tuesday,10-12,not_rain,3
A,1,Tuesday,14-16,not_rain,15
A,2,Tuesday,8-10,not_rain,27
A,3,Tuesday,20-22,not_rain,35
A,4,Tuesday,16-18,not_rain,45
A,5,Tuesday,10-12,not_rain,52
A,6,Tuesday,8-10,not_rain,54
A,7,Tuesday,20-22,not_rain,54
A,8,Tuesday,8-10,not_rain,3
B,1,Tuesday,10-12,not_rain,9
B,2,Tuesday,14-16,not_rain,20
B,3,Tuesday,6-8,not_rain,25
B,4,Tuesday,18-20,not_rain,34
B,5,Tuesday,16-18,not_rain,41
B,6,Tuesday,20-22,not_rain,44
B,7,Tuesday,14-16,rain,51
B,8,Tuesday,14-16,not_rain,59
B,9,Tuesday,6-8,not_rain,62
B,10,Tuesday,10-12,rain,3
A,1,Tuesday,8-10,not_rain,21
A,2,Tuesday,16-18,not_rain,39
A,3,Tuesday,12-14,not_rain,53
A,4,Tuesday,18-20,not_rain,66
A,5,Tuesday,8-10,not_rain,75
A,6,Tuesday,10-12,not_rain,75
A,7,Tuesday,18-20,not_rain,75
A,8,Tuesday,18-20,not_rain,11
B,1,Tuesday,14-16,not_rain,12
B,2,Tuesday,8-10,not_rain,29
B,3,Tuesday,10-12,not_rain,33
B,4,Tuesday,20-22,rain,37
B,5,Tuesday,14-16,not_rain,47
B,6,Tuesday,12-14,not_rain,53
B,7,Tuesday,14-16,not_rain,61
B,8,Tuesday,20-22,not_rain,70
B,9,Tuesday,6-8,rain,68
B,10,Tuesday,16-18,not_rain,7
A,1,Tuesday,8-10,not_rain,15
A,2,Tuesday,14-16,not_rain,19
A,3,Tuesday,18-20,not_rain,27
A,4,Tuesday,20-22,not_rain,40
A,5,Tuesday,20-22,not_rain,47
A,6,Tuesday,10-12,not_rain,58
A,7,Tuesday,18-20,rain,69
A,8,Tuesday,14-16,rain,6
B,1,Tuesday,18-20,not_rain,14
